Subject Descriptor,Consumer Price Index,"Gross domestic product, constant prices","Gross domestic product, constant prices","Gross domestic product, current prices","Gross domestic product, current prices","Gross domestic product, current prices","Gross domestic product, deflator","Gross domestic product per capita, constant prices","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices","Gross domestic product per capita, current prices","Gross domestic product per capita, current prices",Output gap in percent of potential GDP,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Implied PPP conversion rate,Total investment,Gross national savings,"Inflation, average consumer prices","Inflation, average consumer prices","Inflation, end of period consumer prices","Inflation, end of period consumer prices",Six-month London interbank offered rate (LIBOR),Volume of imports of goods and services,Volume of Imports of goods,Volume of exports of goods and services,Volume of exports of goods,Unemployment rate,Employment,Population,"Gross domestic product corresponding to fiscal year, current prices",Current account balance,Current account balance
2006,201.6,15315.93,2.783,13815.6,13815.6,13815.6,90.204,51235.84,55204.98,46216.85,46216.85,46216.85,-0.414,18.659,1,23.538,19.086,201.558,3.222,203.325,2.199,5.273,6.421,6.075,9.467,10.047,4.608,144.418,298.93,13815.6,-816.647,-5.911
2007,207.342,15623.88,2.011,14474.25,14474.25,14474.25,92.642,51751.28,55760.35,47943.35,47943.35,47943.35,-0.696,18.059,1,22.557,17.302,207.344,2.871,211.63,4.084,5.252,2.563,1.93,8.759,6.996,4.617,146.05,301.903,14474.25,-736.549,-5.089
2008,215.303,15642.98,0.122,14769.85,14769.85,14769.85,94.418,51335.91,55312.8,48470.55,48470.55,48470.55,-2.734,17.568,1,21.037,14.936,215.254,3.815,213.113,0.701,3.045,-2.148,-3.271,5.782,5.862,5.8,145.373,304.718,14769.85,-696.523,-4.716
2009,214.537,15236.28,-2.6,14478.05,14478.05,14478.05,95.024,49569.21,53409.24,47102.43,47102.43,47102.43,-7.236,17.178,1,17.769,13.727,214.565,-0.32,217.202,1.919,1.121,-12.61,-15.47,-8.295,-11.868,9.283,139.894,307.374,14478.05,-379.729,-2.623
2010,218.056,15649,2.709,15048.98,15048.98,15048.98,96.166,50523.5,54437.45,48586.29,48586.29,48586.29,-6.514,16.754,1,18.672,15.201,218.076,1.637,220.871,1.689,0.518,13.173,15.374,12.882,15.145,9.608,139.077,309.737,15048.98,-432.01,-2.871
2011,224.939,15891.53,1.55,15599.73,15599.73,15599.73,98.164,50943.53,54890.03,50008.11,50008.11,50008.11,-6.575,16.366,1,19.034,16.162,224.923,3.14,227.687,3.086,0.507,4.817,5.517,7.169,7.452,8.933,139.885,311.944,15599.73,-455.302,-2.919
2012,229.594,16253.98,2.281,16253.95,16253.95,16253.95,100,51736.82,55744.77,51736.74,51736.74,51736.74,-5.699,16.202,1,19.951,18.505,229.586,2.073,231.834,1.822,0.687,2.447,2.65,4.014,3.95,8.075,142.475,314.167,16253.95,-418.115,-2.572
2013,232.957,16553.35,1.842,16843.23,16843.23,16843.23,101.751,52329.15,56382.99,53245.52,53245.52,53245.52,-5.052,16.004,1,20.343,18.934,232.952,1.466,234.892,1.319,0.409,1.214,2.008,2.97,2.937,7.358,143.941,316.331,16843.23,-339.457,-2.015
2014,236.736,16932.03,2.288,17550.68,17550.68,17550.68,103.654,53141.85,57258.64,55083.51,55083.51,55083.51,-3.971,16.08,1,20.778,20.1,236.715,1.615,236.122,0.524,0.329,5.16,5.567,3.883,4.457,6.158,146.319,318.619,17550.68,-369.988,-2.108
2015,237.017,17390.3,2.707,18206.03,18206.03,18206.03,104.691,54187.9,58385.72,56729.68,56729.68,56729.68,-2.544,16.35,1,21.201,20.156,237.002,0.121,237.763,0.695,0.484,5.187,5.785,0.271,-0.354,5.275,148.845,320.926,18206.03,-408.888,-2.246
2016,240.007,17680.3,1.668,18695.1,18695.1,18695.1,105.74,54700.34,58937.87,57839.99,57839.99,57839.99,-2.15,16.174,1,20.567,18.907,240.005,1.267,242.944,2.179,1.056,1.451,1.107,0.407,0.632,4.875,151.436,323.221,18695.1,-397.57,-2.127
2017,245.12,18079.08,2.255,19479.63,19479.63,19479.63,107.747,55580.04,59885.71,59885.71,59885.71,59885.71,-1.317,16.002,1,20.79,19.486,245.136,2.137,248.218,2.171,1.476,4.445,4.474,4.077,4.132,4.35,153.335,325.28,19479.63,-361.705,-1.857
2018,251.107,18606.8,2.919,20527.15,20527.15,20527.15,110.321,56897.46,61305.19,62769.66,62769.66,62769.66,0.009,15.913,1,21.145,19.611,251.102,2.434,252.962,1.911,2.49,4.099,5.063,2.812,4.207,3.892,155.759,327.023,20527.15,-438.235,-2.135
2019,255.657,19032.68,2.289,21372.6,21372.6,21372.6,112.294,57929.84,62417.55,65051.88,65051.88,65051.88,0.655,15.841,1,21.365,19.446,255.653,1.812,258.18,2.063,2.32,1.15,0.531,-0.067,-0.061,3.683,157.536,328.547,21372.6,-472.146,-2.209
2020,258.811,18384.7,-3.405,20893.75,20893.75,20893.75,113.647,55750.01,60068.85,63358.49,63358.49,63358.49,-3.317,15.831,1,21.152,19.158,258.844,1.248,262.189,1.553,0.691,-8.933,-5.639,-13.561,-10.162,8.108,147.794,329.77,20893.75,-616.095,-2.949
2021,270.97,19482.77,5.973,22939.58,22939.58,22939.58,117.743,58921.07,63485.57,69375.38,69375.38,69375.38,0.558,15.86,1,21.086,19.104,269.933,4.284,275.688,5.149,0.223,14.14,15.261,5.409,8.053,5.431,152.724,330.659,22939.58,-796.117,-3.47
